"","Cluster","nome_coluna","V1"
"35",9,"c(""RESERVED.CONDITION.REMOVED.global.error"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.METHOD_CALL.REMOVED.global.error"", ""RESERVED.EXCEPTION_CATCH.REMOVED.global.error"")",1
"36",10,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.STATEMENT.INSERTED.global.var"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",12
"37",10,"c(""RESERVED.CONDITION.INSERTED.global.sheq"", ""RESERVED.STATEMENT.INSERTED.global.var"", ""RESERVED.STATEMENT.INSERTED.global.new"", ""RESERVED.STATEMENT.UPDATED.global.new"")",1
"38",12,"c(""METHOD.METHOD_CALL.INSERTED.global.replace"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",34
"39",12,"c(""METHOD.METHOD_CALL.INSERTED.global.replace"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",2
"40",12,"c(""METHOD.METHOD_CALL.INSERTED.global.replace"", ""RESERVED.STATEMENT.UPDATED.global.var"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",1
"41",13,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.return"", ""RESERVED.STATEMENT.REMOVED.global.return"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",22
"42",13,"c(""RESERVED.CONDITION.INSERTED.global.falsey"", ""RESERVED.STATEMENT.INSERTED.global.return"", ""RESERVED.STATEMENT.REMOVED.global.return"", ""RESERVED.ASSIGNMENT_LHS.INSERTED.global.new"", ""RESERVED.STATEMENT.INSERTED.global.new"")",1
"43",14,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.false"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.VARIABLE_DECLARATION.INSERTED.global.error"")",82
"44",14,"c(""RESERVED.ASSIGNMENT_RHS.INSERTED.global.false"", ""RESERVED.EXPRESSION.UPDATED.global.error"", ""RESERVED.STATEMENT.UPDATED.global.new"", ""RESERVED.VARIABLE_DECLARATION.INSERTED.global.error"")",1
